"year","ncessch","school_name","state_name","latitude","longitude","school_level","school_type","charter","free_or_reduced_price_lunch","enrollment","enrollment_crdc","read_test_num_valid","read_test_pct_prof_midpt","read_test_pct_prof_high","read_test_pct_prof_low","math_test_num_valid","math_test_pct_prof_midpt","math_test_pct_prof_high","math_test_pct_prof_low","enrl_AP","enrl_IB","enrl_gifted_talented","instances_mech_restraint","instances_phys_restraint","instances_seclusion","primarily_serve_students_w_dis","charter_crdc","magnet_crdc"
"2016","110000500219","Cesar Chavez PCS for Public Policy Capitol Hill","District of Columbia","38.8807","-76.9906","High","Regular school","Yes","","332","","99","12","14","10","98","2.5","5","0","","","","","","","","",""
"2016","110000500328","Cesar Chavez PCS for Public Policy Parkside Middle","District of Columbia","38.9013","-76.9491","Middle","Regular school","Yes","","278","","262","13","13","13","261","5","5","5","","","","","","","","",""
"2016","110000500377","Cesar Chavez PCS for Public Policy Chavez Prep","District of Columbia","38.9296","-77.0256","Other","Regular school","Yes","","306","","209","16","16","16","230","7","7","7","","","","","","","","",""
"2016","110000500456","Cesar Chavez PCS for Public Policy Parkside High","District of Columbia","38.9013","-76.9491","High","Regular school","Yes","","359","","93","17","19","15","79","2.5","5","0","","","","","","","","",""
"2016","110000800338","Friendship PCS Collegiate Academy","District of Columbia","38.8975","-76.9463","High","Regular school","Yes","","751","","169","12","14","10","171","2.5","5","0","","","","","","","","",""
"2016","110000800382","Friendship PCS Southeast Academy","District of Columbia","38.8475","-76.997","Primary","Regular school","Yes","","553","","201","12","12","12","200","17","19","15","","","","","","","","",""
"2016","110000800422","Friendship PCSTechnology Preparatory Academy Middle","District of Columbia","38.8483","-76.9963","Middle","Regular school","Yes","","257","","241","17","17","17","241","7","7","7","","","","","","","","",""
"2016","110000800478","Friendship PCS Blow Pierce Middle","District of Columbia","38.8978","-76.9764","Primary","Regular school","Yes","","230","","215","22","22","22","216","23","23","23","","","","","","","","",""
"2016","110000800479","Friendship PCS Blow Pierce Elementary","District of Columbia","38.8978","-76.9764","Primary","Regular school","Yes","","388","","64","22","24","20","63","32","34","30","","","","","","","","",""
"2016","110000800480","Friendship PCS Chamberlain Elementary","District of Columbia","38.8793","-76.9867","Primary","Regular school","Yes","","387","","70","32","34","30","72","52","54","50","","","","","","","","",""
"2016","110000800481","Friendship PCS Woodridge Middle","District of Columbia","38.9292","-76.9661","Primary","Regular school","Yes","","199","","194","27","29","25","194","17","19","15","","","","","","","","",""
"2016","110000800482","Friendship PCS Woodridge Elementary","District of Columbia","38.9292","-76.9661","Primary","Regular school","Yes","","305","","48","24.5","29","20","48","15","19","11","","","","","","","","",""
"2016","110000800483","Friendship PCS Chamberlain Middle","District of Columbia","38.8793","-76.9867","Primary","Regular school","Yes","","330","","322","26","26","26","325","33","33","33","","","","","","","","",""
"2016","110000800495","Friendship PCS Online","District of Columbia","38.9605","-77.0316","Primary","Regular school","Yes","","145","","86","47","49","45","85","27","29","25","","","","","","","","",""
