"","crdc_id","year","fips","school_name","ncessch","leaid","charter","white","black","hispanic","asian","amindian_alnative","hi_native_islander","two_or_more","total_enrollment","enrl_ap_white","enrl_ap_black","enrl_ap_hispanic","enrl_ap_asian","enrl_ap_ind_natv","enrl_ap_hinatv_islndr","enrl_ap_two_or_more","enrl_ib_white","enrl_ib_black","enrl_ib_hispanic","enrl_ib_asian","enrl_ib_ind_natv","enrl_ib_hinatv_islndr","enrl_ib_two_or_more","enrl_gt_white","enrl_gt_black","enrl_gt_hispanic","enrl_gt_asian","enrl_gt_ind_natv","enrl_gt_hi_natv_islndr","enrl_gt_two_or_more"
"1","370472003239",2015,37,"Wake Young Men's Leadership Academy","370472003239",3704720,0,74,101,35,29,2,0,14,255,2,8,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,41,14,8,11,0,0,5
"2","481623010560",2015,48,"EMMETT J CONRAD H S","481623010560",4816230,0,22,217,673,250,2,0,4,1168,7,46,136,49,2,0,2,NA,NA,NA,NA,NA,NA,NA,0,13,61,0,0,0,0
"3","260022701485",2015,26,"Voyageur Collage Prep","260022701485",2600227,1,13,361,43,0,0,0,0,417,4,40,13,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","370472002254",2015,37,"Longview","370472002254",3704720,0,70,214,76,4,2,2,7,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,0,2,0,0,0
"5","261200007984",2015,26,"Medicine and Community Health Academy at Cody","261200007984",2612000,0,7,394,4,2,0,0,2,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","062805013062",2015,6,"Fremont High","062805013062",628050,0,16,202,475,43,0,34,10,780,0,10,91,7,0,10,0,NA,NA,NA,NA,NA,NA,NA,0,7,19,4,0,4,0
"7","040085803286",2015,4,"ASU Preparatory Academy- Phoenix High School","040085803286",400858,1,31,40,322,10,7,0,7,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","482364012203",2015,48,"MOUNT CARMEL ACADEMY","482364012203",4823640,1,16,43,286,2,0,0,4,351,7,10,55,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","040775003454",2015,4,"Vista Peak","040775003454",407750,0,37,7,10,0,2,0,2,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","481428011416",2015,48,"CLEAR HORIZONS EARLY COLLEGE H S","481428011416",4814280,0,142,37,118,133,2,2,22,456,109,28,91,103,2,2,22,NA,NA,NA,NA,NA,NA,NA,28,4,10,28,0,0,2
"11","120087000930",2015,12,"CHAMBERLAIN HIGH SCHOOL","120087000930",1200870,0,382,532,820,52,7,7,70,1870,121,31,151,19,4,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","481623001358",2015,48,"SOUTH OAK CLIFF H S","481623001358",4816230,0,4,940,361,0,7,0,0,1312,0,91,37,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,67,43,0,0,0,0
"13","069101208491",2015,6,"Valley Oaks Charter","069101208491",691012,1,853,22,274,16,10,4,31,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","292355001371",2015,29,"PARK HILL HIGH","292355001371",2923550,0,1222,262,187,88,4,19,88,1870,349,46,37,40,4,4,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","040082703309",2015,4,"Mosaica Online High School of Arizona","040082703309",400827,1,16,2,7,0,2,2,2,31,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","040084303351",2015,4,"BASIS Phoenix","040084303351",400843,1,427,16,52,256,2,0,10,763,109,4,19,52,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
